"a" "b" "c" "d" "e" "f" "g" "h"
"1" -0.1254424 0.3297064 1 1 1 1 1 1
"2" 0.7837204 0.6366821 2 2 2 2 2 2
"3" 0.3045335 0.495294 3 3 3 3 3 3
"4" 0.266036 0.4980454 1 1 1 1 1 1
"5" 0.0057023 0.0147514 2 2 2 2 2 2
"6" -0.1648278 -0.333399 3 3 3 3 3 3
"7" 0.0656548 0.0692659 1 1 1 1 1 1
"8" -0.0319016 0.0003544 2 2 2 2 2 2
"9" 0.2767721 0.5067814 3 3 3 3 3 3
"10" 0.030625 -0.0183794 1 1 1 1 1 1
"11" 0.0817883 -0.011209 2 2 2 2 2 2
"12" 0.0032308 0.0023372 3 3 3 3 3 3
"13" 0.6477585 0.7095666 1 1 1 1 1 1
"14" 0.6896761 0.5869651 2 2 2 2 2 2
"15" -0.0522947 0.0710806 3 3 3 3 3 3
"16" 0.6981945 0.5886914 1 1 1 1 1 1
"17" 0.6810662 0.5242469 2 2 2 2 2 2
"18" 0.0591385 0.0896557 3 3 3 3 3 3
"19" -0.0037265 -0.0167029 1 1 1 1 1 1
"20" 0.4035347 0.4548497 2 2 2 2 2 2
"21" -0.0555407 -0.3311551 3 3 3 3 3 3
"22" -0.0187683 -0.0152155 1 1 1 1 1 1
"23" 0.6508883 0.6251478 2 2 2 2 2 2
"24" -0.1023165 0.3399491 3 3 3 3 3 3
"25" 0.0514903 -0.0019534 1 1 1 1 1 1
"26" -0.0993075 0.3375682 2 2 2 2 2 2
"27" -0.1389395 -0.3578524 3 3 3 3 3 3
"28" -0.0831755 0.29602 1 1 1 1 1 1
"29" -0.061384 0.2754661 2 2 2 2 2 2
"30" 0.7209056 0.6762478 3 3 3 3 3 3
"31" -0.1542122 -0.2366302 1 1 1 1 1 1
"32" 0.6583508 0.638698 2 2 2 2 2 2
"33" 0.2086647 0.5005626 3 3 3 3 3 3
"34" 0.7198883 0.7669215 1 1 1 1 1 1
"35" -0.068821 -0.2863879 2 2 2 2 2 2
"36" 0.0333737 -0.0525084 3 3 3 3 3 3
"37" 0.3122049 0.4323008 1 1 1 1 1 1
"38" -0.030695 -0.10809 2 2 2 2 2 2
"39" -0.0907617 -0.3257889 3 3 3 3 3 3
"40" 0.0092196 -0.0197458 1 1 1 1 1 1
"41" 0.3697301 0.5477696 2 2 2 2 2 2
"42" -0.042213 -0.2061284 3 3 3 3 3 3
"43" -0.0301287 0.3124703 1 1 1 1 1 1
"44" 0.7285529 0.5764546 2 2 2 2 2 2
"45" -0.0868326 0.300212 3 3 3 3 3 3
"46" 0.8074852 0.5814458 1 1 1 1 1 1
"47" -0.0898908 -0.3661424 2 2 2 2 2 2
"48" -0.0694332 -0.0191234 3 3 3 3 3 3
"49" -0.118319 -0.2837401 1 1 1 1 1 1
"50" -0.0071886 0.0090429 2 2 2 2 2 2
"51" -0.1472709 -0.3454614 3 3 3 3 3 3
"52" 0.6639447 0.6863391 1 1 1 1 1 1
"53" -0.0987884 -0.2406537 2 2 2 2 2 2
"54" -0.1500721 -0.2857007 3 3 3 3 3 3
"55" -0.1532954 -0.3050017 1 1 1 1 1 1
"56" -0.0602853 0.2802157 2 2 2 2 2 2
"57" 0.6772265 0.5844095 3 3 3 3 3 3
"58" -0.0903483 -0.3227557 1 1 1 1 1 1
"59" 0.2543761 0.4790585 2 2 2 2 2 2
"60" 0.7252405 0.7413182 3 3 3 3 3 3
"61" 0.7627511 0.6620255 1 1 1 1 1 1
"62" -0.0117161 0.375684 2 2 2 2 2 2
"63" -0.0528182 -0.0669551 3 3 3 3 3 3
"64" -0.1480596 -0.3009489 1 1 1 1 1 1
"65" 0.6792883 0.6440291 2 2 2 2 2 2
"66" -0.0652745 -0.3336862 3 3 3 3 3 3
"67" -0.0378861 0.0155624 1 1 1 1 1 1
"68" -0.0318396 -0.3680225 2 2 2 2 2 2
"69" 0.0424766 0.0500779 3 3 3 3 3 3
"70" 0.0305236 0.0160751 1 1 1 1 1 1
"71" 0.020625 -0.0541464 2 2 2 2 2 2
"72" -0.0906993 -0.2503993 3 3 3 3 3 3
"73" -0.0431285 -0.2693731 1 1 1 1 1 1
"74" -0.1170275 -0.3478511 2 2 2 2 2 2
"75" -0.1105598 -0.2567656 3 3 3 3 3 3
"76" 0.7025015 0.6199273 1 1 1 1 1 1
"77" -0.2029482 -0.2681475 2 2 2 2 2 2
"78" 0.2740671 0.4291319 3 3 3 3 3 3
"79" 0.3535116 0.4994787 1 1 1 1 1 1
"80" 0.0623101 -0.0105916 2 2 2 2 2 2
"81" -0.164289 0.366381 3 3 3 3 3 3
"82" 0.0026065 -0.2559419 1 1 1 1 1 1
"83" -0.1237696 0.3260525 2 2 2 2 2 2
"84" 0.3033037 0.5272898 3 3 3 3 3 3
"85" -0.0587698 0.200471 1 1 1 1 1 1
"86" -0.073546 0.0326663 2 2 2 2 2 2
"87" 0.298758 0.4935457 3 3 3 3 3 3
"88" 0.2632394 0.537629 1 1 1 1 1 1
"89" 0.2690837 0.4850398 2 2 2 2 2 2
"90" -0.0482465 -0.3331393 3 3 3 3 3 3
"91" 0.348766 0.4620745 1 1 1 1 1 1
"92" 0.6854402 0.6149086 2 2 2 2 2 2
"93" 0.2907751 0.4636099 3 3 3 3 3 3
"94" 0.3835551 0.4269598 1 1 1 1 1 1
"95" -0.1137919 -0.2814191 2 2 2 2 2 2
"96" -0.1061302 -0.4253233 3 3 3 3 3 3
"97" -0.1257324 0.3555175 1 1 1 1 1 1
"98" -0.1053794 0.3074662 2 2 2 2 2 2
"99" 0.6643427 0.5634385 3 3 3 3 3 3
"100" -0.0929261 0.3228759 1 1 1 1 1 1
"101" 0.3150192 0.5151069 2 2 2 2 2 2
"102" -0.2343183 0.2382094 3 3 3 3 3 3
"103" -0.0832631 -0.318211 1 1 1 1 1 1
"104" -0.01786 -0.0330921 2 2 2 2 2 2
"105" -0.0484035 -0.2984403 3 3 3 3 3 3
"106" 0.3193955 0.4793949 1 1 1 1 1 1
"107" 0.3501245 0.5457665 2 2 2 2 2 2
"108" 0.2571041 0.558299 3 3 3 3 3 3
