"a" "b" "c" "d" "e" "f" "g"
"1" -1.254424 3.297064 3.87006249465048 -3.54512902069837 7.36903673782945 6.34909338038415 7.29739869013429
"2" 7.837204 6.366821 2.45933411084116 0.643182472325861 -3.45658584218472 -2.93283702339977 7.93541153520346
"3" 3.045335 4.95294 6.21682608500123 -2.81572717893869 5.75994819868356 -1.74820448737592 3.67793356627226
"4" 2.66036 4.980454 -2.2044525379315 0.579034817405045 0.173352654092014 -0.834022419527173 2.80971678812057
"5" 0.057023 0.147514 0.049409725703299 5.4294424476102 1.39439209271222 6.14486157614738 -1.36232780013233
"6" -1.648278 -3.33399 5.98703435156494 1.05847807787359 -2.21061876602471 1.44778778031468 5.73057267908007
"7" 0.656548 0.692659 1.84783682134002 0.369909406639636 5.56236097216606 1.89230437669903 -0.0999143542721868
"8" -0.319016 0.003544 1.56784147489816 -2.39445871580392 4.03673680406064 -3.74736744910479 7.92382086068392
"9" 2.767721 5.067814 2.0887935180217 5.41290726047009 -2.80588663462549 3.48026726767421 -0.609047187492251
"10" 0.30625 -0.183794 4.05921931192279 0.842388680204749 7.39664718229324 -2.03148785885423 0.507578461430967
"11" 0.817883 -0.11209 7.78762230183929 6.78252824302763 6.67328644916415 6.42862928193063 -2.36059245187789
"12" 0.032308 0.023372 -2.14659707155079 3.10401410330087 2.33677740953863 7.61976692080498 7.3726198086515
"13" 6.477585 7.095666 3.94324221741408 1.92798501532525 6.65914297103882 7.9180735098198 0.79307044763118
"14" 6.896761 5.869651 6.50126771256328 -2.89674516580999 6.19184767827392 3.14340958464891 4.04183017089963
"15" -0.522947 0.710806 3.95309461373836 5.53843564260751 -3.28898618742824 7.12035315856338 3.74899861309677
"16" 6.981945 5.886914 3.8387881135568 -1.87735954858363 7.50975832808763 6.69509231951088 7.45334743522108
"17" 6.810662 5.242469 -3.53987770806998 -0.735711912624538 -2.96432977542281 -0.623880887404084 -1.25709194131196
"18" 0.591385 0.896557 -3.55976240430027 6.73347322456539 6.11020073015243 6.76058713067323 -3.73299111891538
"19" -0.037265 -0.167029 3.01901718787849 7.06584666762501 0.689008871093392 5.40787324029952 -2.9206661703065
"20" 4.035347 4.548497 7.13384536001831 -0.112222916446626 -3.18221496511251 2.80335465539247 4.89389833528548
"21" -0.555407 -3.311551 0.071273478679359 -1.51921095978469 -3.69254976324737 1.66256338451058 -2.2406241632998
