"a" "b" "g" "f" "e" "d" "c"
"1" -1.254424 3.297064 0.0920336348935962 0.328242809511721 0.681702334899455 0.443210266297683 0.811969152884558
"2" 7.837204 6.366821 0.0403963085263968 0.0922494062688202 0.129778340691701 0.814856559969485 0.186525879893452
"3" 3.045335 4.95294 0.428290538722649 0.227779975160956 0.531574390828609 0.785882427357137 0.832157248165458
"4" 2.66036 4.980454 0.117280699312687 0.455212081316859 0.62637774576433 0.730338586727157 0.433639378054067
"5" 0.057023 0.147514 0.726399302948266 0.941409368766472 0.856460506096482 0.641585816862062 0.496624042280018
"6" -1.648278 -3.33399 0.652218323433772 0.611091650323942 0.167936097364873 0.46355990273878 0.822849452029914
"7" 0.656548 0.692659 0.436800911556929 0.333122185664251 0.693082907237113 0.890461365925148 0.513739495072514
"8" -0.319016 0.003544 0.105520738521591 0.352253091987222 0.423855148954317 0.104046285385266 0.855014839908108
"9" 2.767721 5.067814 0.527140499092638 0.213950033532456 0.59958185418509 0.608713706023991 0.00187116395682096
"10" 0.30625 -0.183794 0.0351372826844454 0.136870987946168 0.736178898951039 0.612658770754933 0.43786935438402
"11" 0.817883 -0.11209 0.985319987637922 0.0318896733224392 0.122606406686828 0.736457323655486 0.328780587762594
"12" 0.032308 0.023372 0.290329386712983 0.568979603936896 0.000819561071693897 0.758733962895349 0.953307442134246
"13" 6.477585 7.095666 0.601813109824434 0.719589259242639 0.772372040897608 0.817951658042148 0.896824380615726
"14" 6.896761 5.869651 0.213501773076132 0.0304752583615482 0.93054760270752 0.163546484895051 0.426154163666070
"15" -0.522947 0.710806 0.826296229613945 0.292845994466916 0.396228014258668 0.912762979744002 0.469937621848658
"16" 6.981945 5.886914 0.87910088361241 0.898752053966746 0.171764348866418 0.746991006890312 0.904991609277204
"17" 6.810662 5.242469 0.481910180998966 0.844598440919071 0.675346437375993 0.641882190247998 0.67367390030995
"18" 0.591385 0.896557 0.865933757042512 0.351996451849118 0.232770350994542 0.0328853207174689 0.695719303563237
"19" -0.037265 -0.167029 0.260727280285209 0.734038671245798 0.250052646733820 0.187114583328366 0.424440978094935
"20" 4.035347 4.548497 0.835273107746616 0.412698673084378 0.251485480228439 0.314605862600729 0.777851150138304
"21" -0.555407 -3.311551 0.139339952496812 0.0742023447528481 0.108633544063196 0.0842583097983152 0.202648420352489
"22" -0.187683 -0.152155 0.244146274868399 0.124736004741862 0.0655449838377535 0.108691917965189 0.353350848658010
"23" 6.508883 6.251478 0.288993257563561 0.0929784302134067 0.125587895745412 0.663389307213947 0.334226194303483
"24" -1.023165 3.399491 0.439191613812000 0.234679261688143 0.986234012292698 0.763947109691799 0.65299627976492
"25" 0.514903 -0.019534 0.438436644384637 0.869695190805942 0.632499916711822 0.610649258131161 0.264141789404675
"26" -0.993075 3.375682 0.310979669913650 0.235638280399144 0.816816582344472 0.875200995244086 0.860421748133376
"27" -1.389395 -3.578524 0.00962738040834665 0.93212004727684 0.123439808376133 0.93941231397912 0.914774516131729
"28" -0.831755 2.9602 0.939010021043941 0.0605420328211039 0.248555223690346 0.208144673379138 0.325273614143953
"29" -0.61384 2.754661 0.68332754354924 0.105494355782866 0.00592480087652802 0.679083588067442 0.93075742200017
"30" 7.209056 6.762478 0.126002476783469 0.390604506479576 0.230561824515462 0.0227518700994551 0.390499597648159
"31" -1.542122 -2.366302 0.258177690440789 0.979220206150785 0.610965234227479 0.280291783157736 0.163978823693469
