672,29,1
781,29,1
549,29,1
619,35,1
672,46,1
678,44,1
618,29,1
734,35,1
709,33,1
633,30,1
605,24,1
661,44,1
747,33,1
655,32,1
780,41,1
816,29,1
788,31,1
957,28,1
742,30,1
736,33,1
716,45,1
679,40,1
700,51,1
703,26,1
696,38,1
832,32,1
950,30,1
874,18,1
940,23,1
903,38,1
892,41,1
915,38,1
870,35,1
820,21,1
823,27,1
798,28,1
829,28,1
819,36,1
840,33,1
866,36,1
870,28,1
877,25,1
928,37,1
897,41,1
757,26,1
839,32,1
786,24,1
939,20,1
925,31,1
780,16,1
743,29,1
787,23,1
872,27,1
771,24,1
819,28,1
828,30,1
618,23,1
818,26,1
633,19,1
616,26,1
923,25,1
638,31,1
609,25,1
759,16,1
869,24,1
702,28,1
855,18,1
857,36,1
823,41,1
949,25,1
790,28,1
783,34,1
738,29,1
763,28,1
780,18,1
826,23,1
810,22,1
709,36,1
898,34,1
861,36,1
848,30,1
1014,19,1
895,15,1
1084,14,1
955,19,1
999,26,1
1203,32,1
1233,24,1
1240,30,1
1067,22,1
1053,28,1
1303,28,1
1307,24,1
1233,17,1
1202,18,1
1168,16,1
1144,14,1
1298,17,1
1312,28,1
1230,12,1
1139,14,1
1042,23,1
1289,21,1
1263,19,1
1273,24,1
1101,30,1
1130,24,1
1243,16,1
1151,15,1
1246,15,1
1260,11,1
1243,19,1
1271,21,1
1162,22,1
1202,12,1
1280,27,1
1253,25,1
1057,26,1
1234,14,1
1277,16,1
827,20,1
1229,14,1
1230,26,1
1216,16,1
1260,16,1
1222,14,1
1220,17,1
1254,16,1
1194,25,1
1187,12,1
1193,15,1
1214,38,1
1191,23,1
1154,10,1
1086,20,1
1204,24,1
1041,17,1
1109,34,1
933,36,1
1278,29,1
1147,27,1
1198,42,1
1224,27,1
1147,23,1
1020,17,1
1165,13,1
1200,27,1
1155,16,1
1189,22,1
1108,25,1
1239,28,1
1178,23,1
1073,21,1
1293,27,1
1266,30,1
1177,29,1
1183,28,1
1309,28,1
1310,27,1
1188,28,1
1240,16,1
1157,22,1
1380,24,1
1180,26,1
1198,24,1
1209,30,1
1269,16,1
1267,14,1
1220,12,1
1195,25,1
1018,29,1
1180,13,1
1178,16,1
1174,19,1
1069,33,1
1311,20,1
1287,16,1
1113,21,1
1144,24,1
1190,13,1
1172,32,1
1197,22,1
1201,24,1
1111,31,1
1054,26,1
1098,22,1
1022,31,1
1002,25,1
1090,37,1
986,23,1
1165,17,1
1230,21,1
1162,31,1
1336,21,1
1300,34,1
1110,23,1
1208,21,1
1370,20,1
1318,26,1
1390,19,1
1190,22,1
1145,22,1
1198,23,1
1462,20,1
1354,25,1
1313,19,1
1272,25,1
1238,23,1
1097,24,1
1138,23,1
947,23,1
1109,28,1
1111,23,1
1189,19,1
1104,32,1
1005,23,1
988,34,1
887,36,1
1123,31,1
1226,29,1
1090,32,1
1043,27,1
1006,31,1
1044,35,1
1014,36,1
952,33,1
949,29,1
1070,26,1
1081,23,1
827,33,1
1081,25,1
1144,26,1
907,30,1
1090,25,1
1214,24,1
910,27,1
1016,25,1
1070,20,1
1184,27,1
1220,27,1
1121,27,1
1238,23,1
1066,26,1
1141,24,1
1210,33,1
1387,31,1
1269,35,1
1203,30,1
1243,24,1
1269,25,1
1368,27,1
1246,23,1
1095,31,1
1193,31,1
1119,30,1
1030,39,1
1127,36,1
824,35,1
1124,32,1
1194,37,1
1060,43,1
889,41,1
448,45,1
566,43,1
661,32,1
784,25,1
532,37,1
763,36,1
893,46,1
946,36,1
694,58,1
812,56,1
935,42,1
863,37,1
823,35,1
1049,40,1
1027,32,1
858,27,1
1041,40,1
928,38,1
870,40,1
923,43,1
856,45,1
705,32,1
728,32,1
775,15,1
773,44,1
815,47,1
833,47,1
728,38,1
814,42,1
812,35,1
704,31,1
1115,28,1
1148,18,1
958,32,1
1212,19,1
952,22,1
1313,23,1
1212,27,1
1157,34,1
1206,23,1
1100,16,1
1111,31,1
1149,20,1
1350,28,1
1315,23,1
1062,45,1
1205,27,1
1148,18,1
1183,20,1
1149,21,1
1179,27,1
1214,27,1
1191,33,1
1083,27,1
1204,37,1
1196,15,1
1199,29,1
1270,32,1
1314,38,1
1310,28,1
1154,17,1
1112,2,2
1116,3,2
1085,3,2
1154,2,2
1126,1,2
1168,1,2
1101,2,2
1074,3,2
1126,3,2
1147,2,2
1140,1,2
1314,2,2
1326,1,2
1342,3,2
1305,1,2
1383,3,2
1335,3,2
1110,3,2
1096,2,2
1128,2,2
1057,1,2
1108,1,2
1095,2,2
1096,1,2
1126,2,2
1057,2,2
1104,1,2
1120,1,2
1101,3,2
