"a" "b"
"1" 1.99914630815886 2.10749176832968
"2" 1.97066194404079 2.02034470682098
"3" 1.99558228430957 2.00829124839733
"4" 1.96547484813972 1.89772892727231
"5" 2.03175422687018 1.90543489676459
"6" 2.02962008797547 2.03735046838456
"7" 1.97937799499056 1.99263445483739
"8" 1.95900235517863 2.01045821810275
"9" 2.13430380601416 2.00914954498037
"10" 2.07535714105872 2.16187492566654
"11" 1.99914630815886 2.10749176832968
"12" 1.97066194404079 2.02034470682098
"13" 1.99558228430957 2.00829124839733
"14" 1.96547484813972 1.89772892727231
"15" 2.03175422687018 1.90543489676459
"16" 2.02962008797547 2.03735046838456
"17" 1.97937799499056 1.99263445483739
"18" 1.95900235517863 2.01045821810275
"19" 2.13430380601416 2.00914954498037
"20" 2.07535714105872 2.16187492566654
"21" 1.99914630815886 2.10749176832968
"22" 1.97066194404079 2.02034470682098
"23" 1.99558228430957 2.00829124839733
"24" 1.96547484813972 1.89772892727231
"25" 2.03175422687018 1.90543489676459
"26" 2.02962008797547 2.03735046838456
"27" 1.97937799499056 1.99263445483739
"28" 1.95900235517863 2.01045821810275
"29" 2.13430380601416 2.00914954498037
"30" 2.07535714105872 2.16187492566654
"31" 1.99914630815886 2.10749176832968
"32" 1.97066194404079 2.02034470682098
"33" 1.99558228430957 2.00829124839733
"34" 1.96547484813972 1.89772892727231
"35" 2.03175422687018 1.90543489676459
"36" 2.02962008797547 2.03735046838456
"37" 1.97937799499056 1.99263445483739
"38" 1.95900235517863 2.01045821810275
"39" 2.13430380601416 2.00914954498037
"40" 2.07535714105872 2.16187492566654
"41" 1.99914630815886 2.10749176832968
"42" 1.97066194404079 2.02034470682098
"43" 1.99558228430957 2.00829124839733
"44" 1.96547484813972 1.89772892727231
"45" 2.03175422687018 1.90543489676459
"46" 2.02962008797547 2.03735046838456
"47" 1.97937799499056 1.99263445483739
"48" 1.95900235517863 2.01045821810275
"49" 2.13430380601416 2.00914954498037
"50" 2.07535714105872 2.16187492566654
"51" 1.99914630815886 2.10749176832968
"52" 1.97066194404079 2.02034470682098
"53" 1.99558228430957 2.00829124839733
"54" 1.96547484813972 1.89772892727231
"55" 2.03175422687018 1.90543489676459
"56" 2.02962008797547 2.03735046838456
"57" 1.97937799499056 1.99263445483739
"58" 1.95900235517863 2.01045821810275
"59" 2.13430380601416 2.00914954498037
"60" 2.07535714105872 2.16187492566654
"61" 1.99914630815886 2.10749176832968
"62" 1.97066194404079 2.02034470682098
"63" 1.99558228430957 2.00829124839733
"64" 1.96547484813972 1.89772892727231
"65" 2.03175422687018 1.90543489676459
"66" 2.02962008797547 2.03735046838456
"67" 1.97937799499056 1.99263445483739
"68" 1.95900235517863 2.01045821810275
"69" 2.13430380601416 2.00914954498037
"70" 2.07535714105872 2.16187492566654
"71" 1.99914630815886 2.10749176832968
"72" 1.97066194404079 2.02034470682098
"73" 1.99558228430957 2.00829124839733
"74" 1.96547484813972 1.89772892727231
"75" 2.03175422687018 1.90543489676459
"76" 2.02962008797547 2.03735046838456
"77" 1.97937799499056 1.99263445483739
"78" 1.95900235517863 2.01045821810275
"79" 2.13430380601416 2.00914954498037
"80" 2.07535714105872 2.16187492566654
"81" 1.99914630815886 2.10749176832968
"82" 1.97066194404079 2.02034470682098
"83" 1.99558228430957 2.00829124839733
"84" 1.96547484813972 1.89772892727231
"85" 2.03175422687018 1.90543489676459
"86" 2.02962008797547 2.03735046838456
"87" 1.97937799499056 1.99263445483739
"88" 1.95900235517863 2.01045821810275
"89" 2.13430380601416 2.00914954498037
"90" 2.07535714105872 2.16187492566654
